text,x,y,z
It,-17.29568,-21.11895,8.177723
Freud,25.533274,6.765387,11.861281
desires,12.099579,3.8719354,20.734247
everyday,-5.3083186,-15.857357,20.871895
For,-18.574469,-18.095253,-11.03251
slip,-7.32508,18.849482,-7.573547
unconscious,8.82283,18.955702,8.42059
Surrealism,24.859781,4.291334,1.841844
theory,-0.22791885,3.5977664,4.322872
surrealism,23.595455,4.2161574,2.5288336
change,-14.037446,22.912073,-11.70961
important,-2.0739288,-4.740321,6.150512
Surrealists,26.992802,0.9990488,6.112223
methods,-6.048833,1.2595952,16.62939
thinking,7.3053927,1.6702616,13.474957
censorship,6.567666,31.81497,4.0841537
arts,-1.4720963,2.7890775,-5.487819
automatism,5.7662444,21.092485,11.4918165
methods,-6.169281,2.6854086,17.728352
works,-5.7017956,11.204345,-5.8689547
Surrealists,26.992802,0.9990488,6.112223
thought,6.6843705,2.474401,14.303622
In,-11.162243,-23.363892,2.8164244
reality,-10.665608,2.0622659,24.48939
gap,1.9705496,-0.029286882,-26.949472
real,-11.868932,1.629906,23.672504
Transform,-12.6751175,23.892302,-12.674253
imagination,15.888588,3.3570979,9.389715
Reject,-29.17456,16.80923,-3.6951327
working,-5.041675,11.158202,-4.6196904
Surrealists,26.992802,0.9990488,6.112223
cannot,-25.807793,2.517903,-3.5422165
latter,-20.01612,-9.658772,17.003643
censorship,6.231974,33.388626,4.795819
ii,-8.9866085,-25.195044,-2.755376
Christianity,0.26714006,-16.893618,10.472271
Surrealists,26.992802,0.9990488,6.112223
Unlike,-16.87675,3.2647383,6.2379293
pleasure,10.650771,3.6549094,22.92526
principle,2.1451652,-5.3484373,23.17349
rational,-13.1650305,11.078724,14.19528
Surrealists,28.966656,0.6509476,4.701571
media,1.814468,5.1197314,-7.887527
Surrealists,28.669907,2.7725298,5.895312
producing,-1.6062555,14.488113,2.4564312
combining,-9.13604,17.050167,9.48446
creating,-5.9365153,13.409002,1.3565996
playing,-2.8203301,10.485828,-4.5967464
Ren,6.465066,-15.934902,-2.399352
Ren,6.8664474,-16.561848,-0.8033823
Ren,6.8664474,-16.561848,-0.8033823
attacking,-3.2635555,11.719094,1.5896994
We,-24.216383,-18.614244,1.3163186
shocking,13.018409,23.228596,10.949984
Although,-23.080158,2.606206,10.833103
surrealist,21.818968,3.5085135,6.528143
industry,-1.5077249,4.4525814,0.25735825
surrealist,21.107151,2.980809,5.4772887
SURREALISM,23.506699,7.3236103,3.105716
Accept,-25.193142,14.661745,-2.8348696
human,0.0004990745,-12.0260315,9.394578
Reach,-16.689482,6.0217476,-1.4721524
Reject,-29.17456,16.80923,-3.6951327
Reject,-29.17456,16.80923,-3.6951327
instead,-21.701431,-1.9171971,8.137819
Reject,-29.17456,16.80923,-3.6951327
Employ,-8.30667,10.734449,-3.8876824
Accept,-25.920141,13.61064,-3.233972
Student,1.1583213,-24.477104,13.568779
Student,2.0707731,-22.93077,14.560382
Student,1.1583213,-24.477104,13.568779
Student,1.1583213,-24.477104,13.568779
Visualization,8.008791,9.051647,2.0896242
using,-11.694558,11.37544,-2.9718485
methods,-5.703613,2.8919244,16.017866
Slitscan,13.078902,25.868208,-9.282219
ShutterFlash,14.534786,3.6968596,-14.193651
jbhjMnohtml5False,-6.348718,-7.680329,-25.592077
Keywords,5.2351475,0.6104348,3.6865394
slitscan,13.346831,24.271338,-8.043503
photography,14.089686,8.125964,-6.0856075
spatiotemporal,4.3818135,13.27203,-28.333988
spacetime,2.6827517,10.33829,-27.054543
segmentation,4.775063,4.1104536,6.926346
chronophotography,16.311054,8.563899,-13.572575
image,11.179069,1.949381,1.5602633
moving,-10.83878,27.668386,-11.83095
digital,4.9121428,4.8495355,-5.502637
Moving,-10.946533,25.568882,-11.626445
From,-16.80807,-9.95277,-4.4162626
Film,6.7484055,6.6183376,-14.622986
meaningful,-10.278883,8.681329,17.181816
means,-9.130421,2.596888,16.115793
representable,8.099577,9.904768,8.919559
spacetime,2.6827517,10.33829,-27.054543
From,-13.415437,-10.679387,-5.131369
Film,5.471979,6.103679,-15.695849
correlation,-15.79154,7.6425457,5.615136
understood,-11.076718,21.494526,0.18954615
principle,2.1451652,-5.3484373,23.17349
spatial,4.1975803,13.546221,-29.662914
particular,-19.03347,3.1978414,26.554886
linear,-12.145254,5.5988965,-13.101193
In,-12.279491,-24.931711,4.3470035
congruent,-12.03184,12.509005,9.378641
Penetration,-17.124504,7.9867435,-2.3237963
Camille,13.4066725,-31.602854,-6.778176
themselves,-24.707598,-15.917807,7.4877677
